Analyte	Exp	Blankgroup	SampleName	X	Plate	media	treatment	replica	Order	SampleGroup	Blank	Concentration	Concentration_blank	Concentration_fc	ReactorReplicate
GLP.1.total	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	0.9	0.9	1	M2
GLP.1.total	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	0.9	0.9	1	M2
MCP.1	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	2050	1830.666667	1.119810634	M1
MCP.1	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	1946	1830.666667	1.063000728	M1
MCP.1	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	1496	1830.666667	0.817188638	M1
MCP.1	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	2082	2078.333333	1.001764234	M1
MCP.1	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	3059	2700.666667	1.132683288	M1
MCP.1	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	2749	2700.666667	1.017896816	M1
MCP.1	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	2294	2700.666667	0.849419896	M1
MCP.1	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	2282	2078.333333	1.097995188	M1
MCP.1	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	1871	2078.333333	0.900240577	M1
MCP.1	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	804.03	800.5266667	1.004376286	M2
MCP.1	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	469.55	800.5266667	0.586551354	M2
MCP.1	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	1128	800.5266667	1.409072361	M2
MCP.1	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	2939	1898.333333	1.548200176	M2
MCP.1	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	1027	1898.333333	0.541000878	M2
MCP.1	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	1729	1898.333333	0.910798946	M2
MCP.1	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	45.39	27.45	1.653551913	M2
MCP.1	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	9.7	27.45	0.353369763	M2
MCP.1	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	27.26	27.45	0.993078324	M2
PP	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	5.54	5.98	0.926421405	M1
PP	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	7.5	5.98	1.254180602	M1
PP	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	4.9	5.98	0.819397993	M1
PP	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	3.66	4.923333333	0.743398781	M1
PP	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	4.9	5.01	0.978043912	M1
PP	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	5.86	5.01	1.169660679	M1
PP	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	4.27	5.01	0.852295409	M1
PP	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	6.84	4.923333333	1.38930264	M1
PP	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	4.27	4.923333333	0.867298578	M1
PP	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	2.48	2.48	1	M2
PP	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	2.48	2.48	1	M2
PP	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	2.48	2.48	1	M2
PP	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	4.27	4.693333333	0.909801136	M2
PP	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	5.54	4.693333333	1.180397727	M2
PP	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	4.27	4.693333333	0.909801136	M2
PP	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	1.4	1.576666667	0.88794926	M2
PP	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	1.4	1.576666667	0.88794926	M2
PP	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	1.93	1.576666667	1.22410148	M2
PYY	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	108.23	107.1433333	1.010142177	M1
PYY	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	110.17	107.1433333	1.028248763	M1
PYY	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	103.03	107.1433333	0.96160906	M1
PYY	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	97.27	98.06333333	0.99190999	M1
PYY	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	101.93	98.82333333	1.03143657	M1
PYY	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	97.27	98.82333333	0.984281715	M1
PYY	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	97.27	98.82333333	0.984281715	M1
PYY	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	99.65	98.06333333	1.01618002	M1
PYY	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	97.27	98.06333333	0.99190999	M1
PYY	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	94.76	92.79	1.021230736	M2
PYY	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	97.27	92.79	1.048281065	M2
PYY	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	86.34	92.79	0.930488199	M2
PYY	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	103.03	103.75	0.993060241	M2
PYY	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	104.11	103.75	1.00346988	M2
PYY	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	104.11	103.75	1.00346988	M2
PYY	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	89.32	91.13333333	0.980102414	M2
PYY	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	94.76	91.13333333	1.039795172	M2
PYY	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	89.32	91.13333333	0.980102414	M2
Serotonin	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	70.77122772	69.56189672	1.017384963	M1
Serotonin	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	68.69018282	69.56189672	0.987468515	M1
Serotonin	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	69.22427961	69.56189672	0.995146522	M1
Serotonin	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	46.59541474	48.36906431	0.96333091	M1
Serotonin	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	54.06585312	55.21032227	0.979270739	M1
Serotonin	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	59.22626148	55.21032227	1.07273892	M1
Serotonin	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	52.33885222	55.21032227	0.947990341	M1
Serotonin	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	42.10815457	48.36906431	0.870559627	M1
Serotonin	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	56.40362361	48.36906431	1.166109463	M1
Serotonin	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	45.28768672	37.0415995	1.222616931	M2
Serotonin	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	19.31883505	37.0415995	0.521544299	M2
Serotonin	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	46.51827674	37.0415995	1.255838769	M2
Serotonin	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	46.85957149	34.56962389	1.35551291	M2
Serotonin	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	2.831890943	34.56962389	0.081918477	M2
Serotonin	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	54.01740925	34.56962389	1.562568613	M2
Serotonin	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	15.40882163	11.52400112	1.337106919	M2
Serotonin	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	6.781296052	11.52400112	0.588449791	M2
Serotonin	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	12.38188568	11.52400112	1.07444329	M2
TNF.alpha	1	HFCSmedia	HFCSmediaA	2.096699953	1	SDRBRMHFCS	nothing	A	G	HFCSmedia	TRUE	3.36	3.343333333	1.004985045	M1
TNF.alpha	1	HFCSmedia	HFCSmediaB	2.132600069	1	SDRBRMHFCS	nothing	B	G	HFCSmedia	TRUE	3.57	3.343333333	1.06779661	M1
TNF.alpha	1	HFCSmedia	HFCSmediaC	2.123399973	1	SDRBRMHFCS	nothing	C	G	HFCSmedia	TRUE	3.1	3.343333333	0.927218345	M1
TNF.alpha	1	tremedia	tremediaA	2.498699903	1	SDRBRMTrehalose	nothing	A	L	tremedia	TRUE	4.16	3.563333333	1.167446211	M1
TNF.alpha	1	sucmedia	sucmediaB	2.378000021	1	SDRBRMSucrose	nothing	B	A	sucmedia	TRUE	3.62	3.796666667	0.953467954	M1
TNF.alpha	1	sucmedia	sucmediaC	2.292999983	1	SDRBRMSucrose	nothing	C	A	sucmedia	TRUE	4.17	3.796666667	1.09833187	M1
TNF.alpha	1	sucmedia	sucmediaA	2.406100035	1	SDRBRMSucrose	nothing	A	A	sucmedia	TRUE	3.6	3.796666667	0.948200176	M1
TNF.alpha	1	tremedia	tremediaB	2.57069993	1	SDRBRMTrehalose	nothing	B	L	tremedia	TRUE	3.58	3.563333333	1.004677268	M1
TNF.alpha	1	tremedia	tremediaC	2.339699984	1	SDRBRMTrehalose	nothing	C	L	tremedia	TRUE	2.95	3.563333333	0.82787652	M1
TNF.alpha	3	sucmedia2	sucmedia2C	1.77489996	1	SDRBRMSucrose	nothing	C	ZA	sucmedia2	TRUE	3.41	2.746666667	1.241504854	M2
TNF.alpha	3	sucmedia2	sucmedia2A	2.0697999	1	SDRBRMSucrose	nothing	A	ZA	sucmedia2	TRUE	1.21	2.746666667	0.440533981	M2
TNF.alpha	3	sucmedia2	sucmedia2B	1.762599945	1	SDRBRMSucrose	nothing	B	ZA	sucmedia2	TRUE	3.62	2.746666667	1.317961165	M2
TNF.alpha	3	HFCSmedia2	HFCSmedia2A	1.759199977	1	SDRBRMHFCS	nothing	A	ZE	HFCSmedia2	TRUE	5.61	4.396666667	1.275966641	M2
TNF.alpha	3	HFCSmedia2	HFCSmedia2C	2.448600054	1	SDRBRMHFCS	nothing	C	ZE	HFCSmedia2	TRUE	3.38	4.396666667	0.768764215	M2
TNF.alpha	3	HFCSmedia2	HFCSmedia2B	1.688799977	1	SDRBRMHFCS	nothing	B	ZE	HFCSmedia2	TRUE	4.2	4.396666667	0.955269143	M2
TNF.alpha	3	tremedia2	tremedia2A	2.128099918	1	SDRBRMTrehalose	nothing	A	ZH	tremedia2	TRUE	0.6	0.6	1	M2
TNF.alpha	3	tremedia2	tremedia2C	2.30279994	1	SDRBRMTrehalose	nothing	C	ZH	tremedia2	TRUE	0.6	0.6	1	M2
TNF.alpha	3	tremedia2	tremedia2B	2.1796	1	SDRBRMTrehalose	nothing	B	ZH	tremedia2	TRUE	0.6	0.6	1	M2
C.Peptide	1	tremedia	S1R1D18A	1.775699973	1	SDRBRMTrehalose	S1R1D18	A	N	S1R1D18	FALSE	4.7	5.516666667	0.851963746	R1
C.Peptide	1	tremedia	S1R1D18B	1.3204	1	SDRBRMTrehalose	S1R1D18	B	N	S1R1D18	FALSE	4.7	5.516666667	0.851963746	R1
C.Peptide	1	tremedia	S1R1D18C	1.774399996	2	SDRBRMTrehalose	S1R1D18	C	N	S1R1D18	FALSE	4.7	5.516666667	0.851963746	R1
Ghrelin	1	tremedia	S1R1D18A	1.775699973	1	SDRBRMTrehalose	S1R1D18	A	N	S1R1D18	FALSE	10.66	11.58333333	0.92028777	R1
Ghrelin	1	tremedia	S1R1D18B	1.3204	1	SDRBRMTrehalose	S1R1D18	B	N	S1R1D18	FALSE	11.66	11.58333333	1.006618705	R1
Ghrelin	1	tremedia	S1R1D18C	1.774399996	2	SDRBRMTrehalose	S1R1D18	C	N	S1R1D18	FALSE	9.4	11.58333333	0.811510791	R1
GIP.total	1	tremedia	S1R1D18A	1.775699973	1	SDRBRMTrehalose	S1R1D18	A	N	S1R1D18	FALSE	14.11	15.32	0.921018277	R1
GIP.total	1	tremedia	S1R1D18B	1.3204	1	SDRBRMTrehalose	S1R1D18	B	N	S1R1D18	FALSE	20.51	15.32	1.338772846	R1
GIP.total	1	tremedia	S1R1D18C	1.774399996	2	SDRBRMTrehalose	S1R1D18	C	N	S1R1D18	FALSE	12.19	15.32	0.795691906	R1
