samplename	Lcas	Vaty	Ssal	Phis	Lreu	Smit
S1R4_13	0.918358889	0.07045172	0.004973063	0	0.002486531	0.003729797
S1R4_15	0.897223373	0.094073767	0.003729797	0	0.002486531	0.002486531
S1R4_17	0.90095317	0.095731455	0.002072109	0	0	0.001243266
S1R4_18	0.92291753	0.075010361	0.000414422	0	0.000828844	0.000828844
S1R4_3	0.642353916	0.123912143	0.230832988	0.000828844	0	0.002072109
S1R4_6	0.577289681	0.128056361	0.287194364	0	0	0.007459594
S1R4_7	0.33029424	0.414836303	0.251554082	0	0	0.003315375
S1R4_9	0.689183589	0.204309988	0.095731455	0	0.004144219	0.00663075
S1R4_takedown	0.979693328	0.011603813	0.004973063	0	0.000414422	0.003315375
S2R1_0	0.076253626	0	0.003729797	0.917944467	0.002072109	0
S2R1_11	0.680480729	0.208039785	0.094073767	0	0.017405719	0
S2R1_13	0.975134687	0.01989225	0.002486531	0	0.002486531	0
S2R1_15	0.937836718	0.051802735	0.00870286	0	0.001657688	0
S2R1_17	0.631578947	0.364276834	0.002072109	0	0.002072109	0
S2R1_18	0.241193535	0.280563614	0.47575632	0	0.002486531	0
S2R1_3	0.498963945	0.046415251	0.443016991	0	0.011603813	0
S2R1_6	0.779113137	0.191877331	0.023207625	0	0.005801906	0
S2R1_7	0.869457107	0.072109407	0.053460423	0	0.004973063	0
S2R1_9	0.836303357	0.145876502	0.011189391	0	0.00663075	0
S2R1_takedown	0.51761293	0.404061334	0.055532532	0	0.022793203	0
S2R2_0	0.05511811	0.001243266	0.009117281	0.925818483	0.00870286	0
S2R2_11	0.246581019	0.173642768	0.562784915	0	0.016991297	0
S2R2_13	0.869871529	0.099875673	0.028180688	0	0.002072109	0
S2R2_15	0.905926233	0.039784501	0.054289266	0	0	0
S2R2_17	0.700787402	0.150020721	0.149191877	0	0	0
S2R2_18	0.345627849	0.154579362	0.493990883	0	0.005801906	0
S2R2_3	0.19602155	0.041442188	0.752590137	0.000414422	0.009531703	0
S2R2_6	0.878574389	0.06174886	0.058433485	0	0.001243266	0
S2R2_7	0.923746374	0.024036469	0.049316204	0	0.002900953	0
S2R2_9	0.85909656	0.10360547	0.030667219	0	0.00663075	0
S2R2_takedown	0.230832988	0.156237049	0.598839619	0	0.014090344	0
S2R3_0	0.111893908	0	0.002486531	0.881475342	0.004144219	0
S2R3_11	0.938665562	0.054289266	0.006216328	0	0.000828844	0
S2R3_13	0.942395358	0.020306672	0.033982594	0	0.003315375	0
S2R3_15	0.973891421	0.016162453	0.009117281	0	0.000828844	0
S2R3_17	0.849564857	0.149606299	0.000828844	0	0	0
S2R3_18	0.877745545	0.109821799	0.009117281	0	0.003315375	0
S2R3_3	0.789888106	0.197264816	0.00870286	0	0.003315375	0.000828844
S2R3_6	0.722751761	0.06174886	0.212598425	0	0.002900953	0
S2R3_7	0.474927476	0.140074596	0.366763365	0	0.018234563	0
S2R3_9	0.804392872	0.09241608	0.095731455	0	0.007459594	0
S2R3_takedown	0.402818069	0.266887692	0.171570659	0	0.158723581	0
S2R4_0	0.106092002	0	0.012847078	0.878159967	0.002900953	0
S2R4_11	0.953170327	0.023622047	0.022793203	0	0.000414422	0
S2R4_13	0.985080812	0.012847078	0.002072109	0	0	0
S2R4_15	0.968918359	0.02196436	0.009117281	0	0	0
S2R4_17	0.975963531	0.01989225	0.004144219	0	0	0
S2R4_18	0.883547451	0.111479486	0.004558641	0	0.000414422	0
S2R4_3	0.61458765	0.286779942	0.084956486	0.000414422	0.0132615	0
S2R4_6	0.795690012	0.074595939	0.127641939	0	0.002072109	0
S2R4_7	0.911728139	0.036883547	0.047658516	0	0.003729797	0
S2R4_9	0.850393701	0.075839204	0.070037298	0	0.003729797	0
S2R4_takedown	0.495234148	0.428926647	0.074181517	0	0.001657688	0
S3R1_0	0.126398674	0.003729797	0.0132615	0.847078326	0.009531703	0
S3R1_11	0.81268131	0.176958143	0.007874016	0	0.002486531	0
S3R1_13	0.912556983	0.067965189	0.017820141	0	0.001657688	0
S3R1_15	0.923746374	0.062163282	0.010360547	0	0.003729797	0
S3R1_17	0.930791546	0.053874845	0.012018235	0	0.003315375	0
S3R1_18	0.490261086	0.499378367	0.00663075	0	0.003729797	0
S3R1_3	0.846249482	0.006216328	0.106920845	0.012018235	0.02859511	0
S3R1_6	0.783257356	0.097803564	0.113137174	0	0.003315375	0.002486531
S3R1_7	0.513054289	0.22461666	0.241607957	0.000828844	0.0132615	0.00663075
S3R1_9	0.651471198	0.329465396	0.014504766	0	0.004144219	0.000414422
S3R1_takedown	0.19602155	0.694985495	0.094073767	0	0.014504766	0.000414422
S3R2_0	0.065893079	0	0.009117281	0.920430999	0.004558641	0
S3R2_11	0.826771654	0.146290924	0.024865313	0	0.002072109	0
S3R2_13	0.265644426	0.197679237	0.534604227	0	0.002072109	0
S3R2_15	0.931205968	0.047658516	0.016991297	0	0.004144219	0
S3R2_17	0.386241194	0.565271446	0.01533361	0	0.033153751	0
S3R2_18	0.624948197	0.283050145	0.044757563	0	0.047244094	0
S3R2_3	0.278077082	0.430998757	0.235806051	0.001243266	0.053874845	0
S3R2_6	0.790302528	0.080812267	0.120182346	0	0.002486531	0.006216328
S3R2_7	0.315375052	0.439701616	0.239950269	0	0.002900953	0.002072109
S3R2_9	0.526315789	0.428926647	0.036054704	0	0.007045172	0.001657688
S3R2_takedown	0.876502279	0.018648985	0.062163282	0	0.042685454	0
S3R3_0	0.048901782	0	0.01533361	0.929962702	0.005801906	0
S3R3_11	0.947782843	0.034811438	0.013675922	0	0.003729797	0
S3R3_13	0.985495234	0.008288438	0.004558641	0	0.001657688	0
S3R3_15	0.983008703	0.005387484	0.005387484	0	0.006216328	0
S3R3_18	0.931205968	0.031081641	0.023207625	0	0.014504766	0
S3R3_3	0.948197265	0.007045172	0.04185661	0	0.002900953	0
S3R3_6	0.503937008	0.080397845	0.407791131	0	0.007874016	0
S3R3_7	0.953999171	0.016162453	0.027351844	0	0.002486531	0
S3R3_9	0.72026523	0.239535847	0.026108579	0	0.014090344	0
S3R3_takedown	0.905511811	0.036883547	0.038955657	0	0.018648985	0
S3R4_11	0.72896809	0.192706175	0.078325736	0	0	0
S3R4_13	0.956485702	0.026523	0.016991297	0	0	0
S3R4_15	0.932863655	0.024450891	0.042271032	0	0.000414422	0
S3R4_17	0.977206797	0.002072109	0.012018235	0	0.00870286	0
S3R4_18	0.983837547	0.004144219	0.012018235	0	0	0
S3R4_3	0.957728968	0.012432656	0.026523	0	0.003315375	0
S3R4_6	0.764608371	0.167840862	0.065064235	0	0.002486531	0
S3R4_7	0.3787816	0.255698301	0.327807708	0.000414422	0.037297969	0
S3R4_9	0.403646913	0.556983009	0.039370079	0	0	0
S3R4_takedown	0.84583506	0.009117281	0.144218815	0	0.000828844	0
